CREATED AT,TIME ZONE OFFSET,USER GENDER,VENUE ID,VENUE LATITUDE,VENUE LONGITUDE,CITY,COUNTRY,VENUE MACRO-CATEGORY ID,VENUE MACRO-CATEGORY NAME,VENUE CATEGORY ID,VENUE CATEGORY NAME,CHECK-INS COUNT,VENUE LIKES,VENUE RATING
1508716778,-120,male,58a8ec93297c163b94ddcb1f,-27.57059873892061,-48.63865222882746,none,Brazil,4d4b7105d754a06376d81259,Nightlife Spot,4bf58dd8d48988d116941735,Bar,0,none,none
1509114118,-120,female,4e635a067d8b85408a0c54fc,-27.68555165886858,-48.76386766765597,none,Brazil,4d4b7105d754a06377d81259,Outdoors & Recreation,50aa9e094b90af0d42d5de0d,City,0,none,none
1509150408,-120,female,50ddccbbe4b0c73e60fadb23,-27.566661798639608,-48.62985073108933,none,Brazil,4e67e38e036454776db1fb3a,Residence,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),0,none,none
1509153040,-120,female,4d726802ec0754816ba388bf,-27.806853088493792,-48.62634658813477,none,Brazil,4d4b7105d754a06377d81259,Outdoors & Recreation,50aa9e094b90af0d42d5de0d,City,0,none,none
1509205980,-120,male,577d1e7f498e1b242b198d9a,-27.63402405148409,-48.64530031624192,none,Brazil,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d1c4941735,Restaurant,0,none,none
1509403250,-120,male,51490c8be4b01bd7bde4c8cd,-27.634458095989046,-48.67742425904974,none,Brazil,4e67e38e036454776db1fb3a,Residence,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),0,none,none
1509474559,-120,female,52d3cafe11d27d1dc16438cd,-27.60767614657065,-48.63938465000105,none,Brazil,4d4b7105d754a06377d81259,Outdoors & Recreation,4bf58dd8d48988d176941735,Gym,0,none,none
1509486169,-120,male,580b455738fa122cf811d3e9,-27.601305,-48.638826,none,Brazil,4d4b7105d754a06378d81259,Shop & Service,4bf58dd8d48988d110951735,Salon / Barbershop,0,none,none
1507765432,-180,male,5570e116498e61b3f3e3f3bd,-27.614622465793207,-48.64598917640174,São José,Brazil,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d16c941735,Burger Joint,0,none,none
1507815967,-180,female,51d8e5e3498ea6557c76fa9b,-27.60052486903239,-48.643900378841934,São José,Brazil,4e67e38e036454776db1fb3a,Residence,4bf58dd8d48988d103941735,Home (private),0,none,none
1508532010,-120,female,4d9cca02b2fe5941b8060b6d,-27.68478216587668,-48.77646446228027,Santo Amaro da Imperatriz,Brazil,4d4b7105d754a06377d81259,Outdoors & Recreation,4bf58dd8d48988d176941735,Gym,0,none,none
1508716013,-120,female,4ed81554775bcc53f7c372a3,-27.64132006529137,-48.6647733603749,none,Brazil,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d1ca941735,Pizza Place,0,none,none
1509130827,-120,none,561430f0498e2f38563f8660,-27.599387626828623,-48.59924598964176,none,Brazil,4d4b7105d754a06377d81259,Outdoors & Recreation,4f4528bc4b90abdf24c9de85,Athletics & Sports,0,none,none
1509138035,-120,female,4dbc68e40cb691071ca2b12f,-27.59643446304059,-48.55308189916651,Florianópolis,Brazil,4d4b7105d754a06378d81259,Shop & Service,4bf58dd8d48988d1de931735,Tattoo Parlor,0,none,none
1509140097,-120,male,5218233d11d27f8f81699aa1,-27.475917266757296,-48.414906333827105,none,Brazil,4d4b7105d754a06376d81259,Nightlife Spot,4bf58dd8d48988d1d8941735,Gay Bar,0,none,none
1509214725,-120,female,5113a37ce4b010ed9432aaf5,-27.378236531463298,-48.533086846500034,Governador Celso Ramos,Brazil,4d4b7105d754a06377d81259,Outdoors & Recreation,4bf58dd8d48988d1e2941735,Beach,0,none,none
1509228913,-120,female,528a8fc711d207bc2d86bff1,-27.49718206048573,-48.6541054825384,none,Brazil,4d4b7104d754a06370d81259,Arts & Entertainment,507c8c4091d498d9fc8c67a9,Public Art,0,none,none
1509304921,-120,female,57797888cd108f2f13b7de97,-27.363228811764067,-48.55451831159212,Gov. Celso Ramos,Brazil,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d1c7941735,Snack Place,0,none,none
1509361955,-120,male,57f8f454498e82d3780f2fcd,-27.601806652247248,-48.63773345271223,none,Brazil,4d4b7105d754a06378d81259,Shop & Service,52f2ab2ebcbc57f1066b8b44,Auto Garage,0,none,none
1509371136,-120,male,58821504a19e90341b909059,-27.54465411418018,-48.500196933746345,Florianópolis,Brazil,4d4b7105d754a06375d81259,Professional & Other Places,4bf58dd8d48988d12a941735,Capitol Building,0,none,none
1509381436,-120,female,51ac1844498eeebbae408eb8,-27.58977483327268,-48.708454493353386,none,Brazil,4d4b7105d754a06377d81259,Outdoors & Recreation,4bf58dd8d48988d176941735,Gym,0,none,none
1509448653,-120,male,506e053ee4b06a509d649d58,-27.67937824646877,-48.67274337216825,Palhoça,Brazil,4d4b7105d754a06377d81259,Outdoors & Recreation,4f2a25ac4b909258e854f55f,Neighborhood,0,none,none
1509468683,-120,female,50d53ac8e4b0147071a46cb5,-27.531906296138267,-48.64507603243697,Biguaçu,Brazil,4e67e38e036454776db1fb3a,Residence,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),0,none,none
1509494978,-120,female,58cc06805a5869277d57be08,-27.513546643703307,-48.643900378841934,none,Brazil,4e67e38e036454776db1fb3a,Residence,4bf58dd8d48988d103941735,Home (private),0,none,none
1509503529,-120,female,51743a5fe4b0eb7a4c19e4f2,-27.635475001297184,-48.65187777575097,none,Brazil,4e67e38e036454776db1fb3a,Residence,4f2a210c4b9023bd5841ed28,Housing Development,0,none,none
1509507160,-120,male,55be6d3c498ec82f70513394,-27.68388574864281,-48.714123035223075,none,Brazil,4e67e38e036454776db1fb3a,Residence,4bf58dd8d48988d103941735,Home (private),0,none,none
1509526959,-120,female,52dec1ba498e17bb59f2c67f,-27.627219348563376,-48.668503092913674,none,Brazil,4d4b7105d754a06377d81259,Outdoors & Recreation,4bf58dd8d48988d176941735,Gym,0,none,none
1509529975,-120,female,4bc45c8b4cdfc9b6a3799821,-27.60207900319041,-48.5514789014031,Florianópolis,Brazil,4d4b7105d754a06375d81259,Professional & Other Places,4bf58dd8d48988d1ff931735,Convention Center,0,none,none
1509532330,-120,male,57c9b893cd107656b59a785e,-27.638211,-48.651484,none,Brazil,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d1e0931735,Coffee Shop,0,none,none
1509532793,-120,female,5569bfe1498e03cd31c40472,-27.637218028854555,-48.649768269561434,none,Brazil,4d4b7105d754a06378d81259,Shop & Service,4bf58dd8d48988d110951735,Salon / Barbershop,0,none,none
1509533965,-120,male,536f94a5498ede73c42c26c4,-27.62678543529212,-48.678170392626626,Palhoça,Brazil,4d4b7105d754a06377d81259,Outdoors & Recreation,4f2a25ac4b909258e854f55f,Neighborhood,0,none,none
1509537571,-120,female,4ea5831e490102dac3e2dbbb,-27.63434085389751,-48.645956857851495,Palhoça,Brazil,4d4b7105d754a06372d81259,College & University,4bf58dd8d48988d1ab941735,Student Center,0,none,none
1509538365,-120,female,524437f3498e1d25b18fae3e,-27.49583792568962,-48.65553028238738,none,Brazil,4d4b7105d754a06378d81259,Shop & Service,4bf58dd8d48988d108951735,Women's Store,0,none,none
1509543598,-120,male,506e053ee4b06a509d649d58,-27.67937824646877,-48.67274337216825,Palhoça,Brazil,4d4b7105d754a06377d81259,Outdoors & Recreation,4f2a25ac4b909258e854f55f,Neighborhood,0,none,none
1509543790,-120,male,52c5542511d243ec3a81ac20,-27.476038889015044,-48.411264804603746,none,Brazil,4d4b7105d754a06378d81259,Shop & Service,4bf58dd8d48988d10f951735,Pharmacy,0,none,none
1509544466,-120,female,4bb79a807421a5938ebbc040,-27.628680562807627,-48.44834460217857,Florianópolis,Brazil,4d4b7105d754a06377d81259,Outdoors & Recreation,4bf58dd8d48988d1e2941735,Beach,0,none,none
1509550076,-120,male,577d1e7f498e1b242b198d9a,-27.63402405148409,-48.64530031624192,none,Brazil,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d1c4941735,Restaurant,0,none,none
1509551789,-120,male,5034d839e4b0fff57d294687,-27.577659839287712,-48.60807782283639,none,Brazil,4d4b7105d754a06378d81259,Shop & Service,4bf58dd8d48988d124951735,Automotive Shop,0,none,none
1509552339,-120,male,4bbaa05353649c74694e49fb,-27.59852752051421,-48.55375634501996,Florianópolis,Brazil,4d4b7105d754a06379d81259,Travel & Transport,4bf58dd8d48988d1fe931735,Bus Station,0,none,none
1509554611,-120,male,519210d9498eb731c188cfbf,-27.594300753084532,-48.54247267624986,none,Brazil,4d4b7105d754a06372d81259,College & University,4bf58dd8d48988d1ad941735,Trade School,0,none,none
1509562961,-120,female,56bbb102498e82fc5350acbf,-27.57944447517016,-48.599997482728604,none,Brazil,4d4b7105d754a06376d81259,Nightlife Spot,4bf58dd8d48988d116941735,Bar,0,none,none
1509573082,-120,female,51d8e5e3498ea6557c76fa9b,-27.60052486903239,-48.643900378841934,São José,Brazil,4e67e38e036454776db1fb3a,Residence,4bf58dd8d48988d103941735,Home (private),0,none,none
1509807998,-120,male,57657c4d498ee4a1371ca7f8,-27.581383775751096,-48.57834262282867,none,Brazil,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d1cc941735,Steakhouse,0,none,none
1510088589,-120,male,55a6e19b498e2f07ce31288b,-27.749981790083385,-48.632770487541855,none,Brazil,4d4b7105d754a06377d81259,Outdoors & Recreation,4bf58dd8d48988d175941735,Gym / Fitness Center,0,none,none
1510100733,-120,female,5179cd63498e982ba00ba1e6,-27.63513791389091,-48.64611098719118,Palhoça,Brazil,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d16f941735,Hot Dog Joint,0,none,none
1510268687,-120,female,4b66095df964a520f50f2be3,-27.59029942669905,-48.515101383127366,Florianópolis,Brazil,4d4b7105d754a06378d81259,Shop & Service,4bf58dd8d48988d1fd941735,Shopping Mall,0,none,none
1510274489,-120,male,58a8ec93297c163b94ddcb1f,-27.57059873892061,-48.63865222882746,none,Brazil,4d4b7105d754a06376d81259,Nightlife Spot,4bf58dd8d48988d116941735,Bar,0,none,none
1510351712,-120,male,57ef200e498e29b654115a58,-27.596901341571932,-48.633875790175935,none,Brazil,4e67e38e036454776db1fb3a,Residence,4bf58dd8d48988d103941735,Home (private),0,none,none
1510355218,-120,female,5952fe4d95d9865ba17b2b6e,-27.59810412067794,-48.60608357780509,none,Brazil,4d4b7105d754a06376d81259,Nightlife Spot,4bf58dd8d48988d121941735,Lounge,0,none,none
1510365147,-120,female,4e635a067d8b85408a0c54fc,-27.68555165886858,-48.76386766765597,none,Brazil,4d4b7105d754a06377d81259,Outdoors & Recreation,50aa9e094b90af0d42d5de0d,City,0,none,none
1510515608,-120,female,590f7f996eda0206a5060bd1,-27.584711100132186,-48.55026249938386,Florianópolis,Brazil,4d4b7105d754a06373d81259,Event,5267e4d9e4b0ec79466e48c8,Other Event,0,none,none
1510521256,-120,female,4d1a30b9bb488cfa2153c3d4,-27.376084297382608,-48.53302822060477,Governador Celso Ramos,Brazil,4d4b7105d754a06377d81259,Outdoors & Recreation,4bf58dd8d48988d1e2941735,Beach,0,none,none
1510593009,-120,female,4fb3eb95e4b0d1c7342f5a0d,-27.64862591846137,-48.66712416685103,none,Brazil,4e67e38e036454776db1fb3a,Residence,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),0,none,none
1510599623,-120,male,55296ed4498e28d03948d799,-27.69094221702909,-48.65900675110715,none,Brazil,4d4b7105d754a06377d81259,Outdoors & Recreation,4cce455aebf7b749d5e191f5,Soccer Field,0,none,none
1510609914,-120,male,578971da498efd4e9161c577,-27.592119,-48.554457,none,Brazil,4d4b7105d754a06375d81259,Professional & Other Places,5744ccdfe4b0c0459246b4af,Physical Therapist,0,none,none
1510696641,-120,female,58c375bc9465dd5494270e10,-27.443039,-48.40258,none,Brazil,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d1c7941735,Snack Place,0,none,none
1511458928,-120,male,5190dceb498e759a97958ba8,-27.677982,-48.562275,none,Brazil,4d4b7105d754a06375d81259,Professional & Other Places,4e52adeebd41615f56317744,Military Base,0,none,none
1511483191,-120,female,58a8ec93297c163b94ddcb1f,-27.57059873892061,-48.63865222882746,none,Brazil,4d4b7105d754a06376d81259,Nightlife Spot,4bf58dd8d48988d116941735,Bar,0,none,none
